,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
6050,3,2,2,3,58.7,1978.0,1,1,0,36.9,7.3,3.0,1121,0,61328.0
6060,3,2,5,2,57.4,2022.0,0,2,0,30.7,10.9,2.52,1418,0,142500.0
6062,3,12,29,2,44.8,2018.0,1,1,2,25.0,10.0,2.8,1100,0,119419.0
6066,3,1,3,3,98.6,2013.0,1,6,2,44.7,14.6,2.75,1318,0,98884.0
6070,3,2,4,2,47.5,1984.0,1,2,2,36.5,7.0,2.5,1211,0,108421.0
6074,3,1,3,1,37.6,2019.0,1,1,2,17.4,8.0,2.6,1329,0,101063.0
6075,3,3,5,1,32.5,1973.0,1,1,2,20.3,5.0,2.82,1024,0,115384.0
6076,3,2,3,1,34.4,1999.0,1,1,2,19.0,5.0,2.82,891,0,107558.0
6077,3,3,5,1,31.3,1978.0,1,1,2,16.8,9.0,2.5,573,0,111821.0
6080,3,5,5,3,58.0,1970.0,1,1,2,40.5,6.0,2.82,1105,0,100000.0
6081,3,2,4,3,69.5,1977.0,1,1,2,39.0,10.0,2.82,1174,0,100000.0
6083,3,3,5,3,65.3,1986.0,1,2,2,39.2,10.4,2.82,1352,0,130168.0
6086,3,3,9,3,68.0,1985.0,1,2,2,38.8,7.7,2.82,482,0,125000.0
6087,3,1,5,3,78.2,2002.0,1,1,2,50.0,14.0,2.82,1025,0,104859.0
6088,3,5,5,3,63.0,1973.0,1,1,2,44.6,7.3,2.6,1105,0,93650.0
6092,3,2,2,3,58.7,1985.0,1,2,2,36.9,7.3,3.0,1121,0,66439.0
6093,3,9,10,3,79.9,2019.0,1,2,2,67.9,12.0,2.7,1083,0,83854.0
6094,3,2,4,3,58.2,1979.0,1,2,0,36.5,6.9,2.82,1230,0,92611.0
6095,3,2,3,3,65.8,1978.0,1,1,0,56.199999999999996,9.6,2.82,1163,0,79027.0
6096,3,4,5,3,62.3,1991.0,1,2,2,38.2,7.5,2.6,573,0,97913.0
6097,3,2,4,3,58.0,1979.0,1,2,2,40.0,7.0,3.0,1230,0,93103.0
